"id"|"arenaId"|"name"|"address"|"short"
578|578|"Gutenberghalle"|"Gutenbergstraße 27, 25524 Itzehoe"|"Itzehoe, Gutenberghalle"
312|312|"Lehmwohld-Halle"|"Am Lehmwohld , 25524 Itzehoe"|"Itzehoe, Lehmwohld-Halle"
577|577|"BGS-Halle"|"Norderende 12, 25821 Breklum"|"Breklum, BGS-Halle"
581|581|"Schleswig"|" ,  Schleswig"|"Schleswig, Schleswig"
576|576|"Albinus-Gemeinschaftsschule"|"Schulstr. 1, 21481 Lauenburg"|"Lauenburg, Albinus-Gemeinschaftsschule"
570|570|"TH Gleißberg-Grundschule"|"Ernst-Schneller-Straße 12, 01809 Heidenau"|"Heidenau, TH Gleißberg-Grundschule"
574|574|"Silberlandhalle"|"Talstraße 8-10, 09456 Annaberg-Buchholz"|"Annaberg-Buchholz, Silberlandhalle"
571|571|"USV Halle"|" ,  "|", USV Halle"
580|580|"Harzgerode, Ernst-Bremmel-Halle"|" ,  "|", Harzgerode, Ernst-Bremmel-Halle"
564|564|"Sporthalle am Ried"|"Philosophenstraße 24 B, 35396  Gießen"|"Gießen, Sporthalle am Ried"
566|566|"Turnhalle Liebigschule"|"Bismarckstraße  21, 35390 Gießen"|"Gießen, Turnhalle Liebigschule"
112|112|"Ennepetal, Peddinghausstr."|"Peddinghausstraße 17, 58256 Ennepetal"|"Ennepetal, Ennepetal, Peddinghausstr."
585|585|"Sporthalle 1"|"Harsewinkelweg 4, 33100 Paderborn"|"Paderborn, Sporthalle 1"
563|563|"Mülheim - Mintrader Str."|"Mintrader Str. 45, 45481 Mülheim an der Ruhr"|"Mülheim an der Ruhr, Mülheim - Mintrader Str."
586|586|"Turnhalle der internationalen Friedensschule"|"Unter Linden 180, 50859 Köln"|"Köln, Turnhalle der internationalen Friedensschule"
94|94|"Lintorf"|" ,  "|", Lintorf"
596|596|"Sachsenhalle"|"Str. Usti nad Labem 275, 09119 Chemnitz"|"Chemnitz, Sachsenhalle"
590|590|"Horst-Korber-Sportzentrum"|"Glockenturmstraße 3-5, 14053 Berlin"|"Berlin, Horst-Korber-Sportzentrum"
592|592|"Ehrenfried-Walther-von-Tschirnhaus-Gymnasium"|"Bernhardstraße 18, 01069 Dresden"|"Dresden, Ehrenfried-Walther-von-Tschirnhaus-Gymnasium"
606|606|"Bothfelder Sporthalle"|"Prinz-Albrecht-Ring 16, 30657 Hannover"|"Hannover, Bothfelder Sporthalle"
607|607|"Hans-Adlhoch-Schule (Dreifachhalle)"|"Hans-Adlhoch-Straße 34, 86157 Augsburg"|"Augsburg, Hans-Adlhoch-Schule (Dreifachhalle)"
611|611|"SH Graf- Engelbert- Schule"|"Königsallee 77-79, 44789 Bochum"|"Bochum, SH Graf- Engelbert- Schule"
593|593|"Sporthalle der Gustav-Stresemann-Wirtschaftsschule"|"Hechtsheimer Straße 31, 55130 Mainz"|"Mainz, Sporthalle der Gustav-Stresemann-Wirtschaftsschule"
619|619|"Sporthalle BBS am Schölerberg"|"Iburger Str.    169, 49082 Osnabrück"|"Osnabrück, Sporthalle BBS am Schölerberg"
506|506|"Hamburg, Sporthalle Steinwiesenweg"|" ,  Hamburg"|"Hamburg, Hamburg, Sporthalle Steinwiesenweg"
591|591|"Sporthalle Bildungszentrum am Sandberg"|"Schulze-Delitzsch-Straße 2, 24943 Flensburg"|"Flensburg, Sporthalle Bildungszentrum am Sandberg"
610|610|"Hans-Christian-Andersen-Halle"|"Stoschstraße 24-26, 24143 Kiel"|"Kiel, Hans-Christian-Andersen-Halle"
616|616|"Erfurt, Gutenberggymnasium"|" ,  "|", Erfurt, Gutenberggymnasium"
614|614|"Turnhalle Oberschule Weißig"|"Gönnsdorfer Weg 1, 01328 Dresden"|"Dresden, Turnhalle Oberschule Weißig"
594|594|"Sporthalle Gustav-Stresemann-Wirtschaftsschule"|"Hechtsheimer Straße 31, 55130 Mainz"|"Mainz, Sporthalle Gustav-Stresemann-Wirtschaftsschule"
600|600|"Turnhalle Albert-Schweitzer-Straße"|"Grünberger Str.  218, 35394 Gießen"|"Gießen, Turnhalle Albert-Schweitzer-Straße"
617|617|"Vilsheimer Sporthalle"|"Schulstraße 3, 84184 Tiefenbach"|"Tiefenbach, Vilsheimer Sporthalle"
